id,translation_id,english,kinyarwanda,kirundi,somali
EHEZA-T-0034,AcuteIllnessDiagnosis.DiagnosisGastrointestinalInfectionComplicated,Gastrointestinal Infection with Complications,Indwara yo mu nda ikabije,Ingwara yo mu mara/m'umushishito hamwe n'ingorane zijanye nazo,Caabuqa Caloosha oo leh Waxyeello
EHEZA-T-0035,AcuteIllnessDiagnosis.DiagnosisGastrointestinalInfectionUncomplicated,Gastrointestinal Infection without Complications,Indwara yo mu nda yoroheje,Ingwara yo mu mara/m'umushishito ata ngorane zijanye nazo,Caabuqa Caloosha aan lahayn Waxyeello
EHEZA-T-0036,AcuteIllnessDiagnosis.DiagnosisSimpleColdAndCough,Simple Cold and Cough,Ibicurane n'inkorora byoroheje,Imbeho hamwe n'inkorora biswnzwe,Qufac iyo Qarqaryo fudud
EHEZA-T-0037,AcuteIllnessDiagnosis.DiagnosisRespiratoryInfectionComplicated,Acute Respiratory Infection with Complications,Indwara y'ubuhumekero ikabije,Indwara ikaze ifatira mubihimba vy'ihemero hamwe n'ingorane ziyiherekeje,Caabuqa Neefsashada ku dhaca ee leh dhibaatadu la socoto
EHEZA-T-0038,AcuteIllnessDiagnosis.DiagnosisRespiratoryInfectionUncomplicated,Uncomplicated Pneumonia,Umusonga woroheje,Hiketswe ingwara y'umusonga igoye,Oof wareen aan waxyeello lahayn`
EHEZA-T-0039,AcuteIllnessDiagnosisWarning.DiagnosisCovid19Suspect,Suspected COVID-19 case,Aracyekwaho indwara ya COVID-19,Hiketswe ingwara ya Korona-19 (COVID-19),Xaalad covid-19 looga shakisan yahay
EHEZA-T-0040,AcuteIllnessDiagnosisWarning.DiagnosisMalariaComplicated,Malaria with Complications,Afite Malariya y'igikatu,Malariya kumwe n'ingorane zikomeye zayo,Duumo leh Waxyeello
EHEZA-T-0041,AcuteIllnessDiagnosisWarning.DiagnosisGastrointestinalInfectionComplicated,Suspected Gastrointestinal Infection (with Complications),Aracyekwaho indwara yo mu nda ikabije,Hiketswe ingwara yo mu mara/mu nda (hamwe n'ingorane),Looga Shakisan yahay Caabuqa Caloosha (leh Waxyeello)
EHEZA-T-0042,AcuteIllnessDiagnosisWarning.DiagnosisGastrointestinalInfectionUncomplicated,Suspected Gastrointestinal Infection (without Complications),Aracyekwaho indwara yo mu nda yoroheje,Hiketswe ingwara yo mu mara/mu nda (ata ngorane),Looga Shakisan yahay Caabuqa Caloosha (aan lahayn waxyeello)
EHEZA-T-0043,AcuteIllnessDiagnosisWarning.DiagnosisSimpleColdAndCough,Simple Cold and Cough,Inkorora n'ibicurane byoroheje ,Imbeho hamwe n'inkorora biswnzwe,Qufac iyo Qarqaryo fudud
EHEZA-T-0044,AcuteIllnessDiagnosisWarning.DiagnosisRespiratoryInfectionComplicated,Suspected Acute Respiratory Infection (with Complications),Aracyekwaho indwara y'ubuhumekero ikabije,Hiketswe ukwandura ingwara yo guhema ikaze/ikomeye (hamwe n'ingorane),Looga Shakisan yahay Caabuqa Saableyda (leh waxyeello)
EHEZA-T-0045,AcuteIllnessDiagnosisWarning.DiagnosisRespiratoryInfectionUncomplicated,Suspected Uncomplicated Pneumonia,Aracyekwaho umusonga woroheje,Hiketswe ingwara y'umusonga igoye,Looga shakisan yahay Xiiq dheer aan lahayn waxyeello
EHEZA-T-0046,AcuteIllnessExisting,Existing Acute Illness,Indwara ifatiyeho iheruka kuvurwa,Hariho ungwara ikaze/ikomeye,Xanuun soo Bood ah jira
EHEZA-T-0047,AcuteIllnessHistory,Acute Illness History,Amakuru ku ndwara ifatiyeho,Akahise k'ingwara ibabaza cane/ikaze,Taariikhda Xanuunka soo Boodada ah
EHEZA-T-0048,AcuteIllnessOutcome.OutcomeIllnessResolved,Illness Resolved,Indwara Yarakize,Ingwara yatorewe inyishu,Cudurka iskiis u baaba`ay
EHEZA-T-0049,AcuteIllnessOutcome.OutcomeLostToFollowUp,Lost to Follow Up,Umurwayi yaburiwe irengero,Yarabuzwe mu gihe co gukurikiranwa,Aan la
EHEZA-T-0050,AcuteIllnessOutcome.OutcomeMovedOutsideCA,Moved outside the catchment area,Umurwayi yimukiye ahandi,Bimuriwe/yimuriwe/yagiye hanze y'akarere k'ibikorwa/k'ubuvuzi,U guuray goob ka baxsan xeyndaabka adeega
EHEZA-T-0051,AcuteIllnessOutcomeLabel,Acute Illness Outcome,Iherezo ry'indwara ifatiyeho\n,Inkurikizi/ingaruka z'ingwara ibabaza cane/ikaze,Natiijada Xanuunka soo Boodada ah
EHEZA-T-0052,AcuteMalnutrition,Acute Malnutrition,Imirire mibi ihutiyeho,,Nafaqo darrda
EHEZA-T-0053,ActiveDiagnosis,Active Diagnosis,Uburwayi Bwasuzumwe,Indwara arwaye ubu,Baaritaan cusub
EHEZA-T-0054,Activities,Activities,Ibikorwa,Ibikorwa,Howlaha
EHEZA-T-0055,ActivitiesTitle.MotherActivity,Lactation,Konsa,Konsa,Nuujin
EHEZA-T-0056,ActivitiesTitle.MotherActivity,FBF Mother,FBF y'umubyeyi,FBF y'umuvyeyi,Hooyo FBF ah
EHEZA-T-0057,ActivitiesTitle.ChildActivity,FBF Child,FBF y'umwana,FBF y'umwana,Canug FBF ah
EHEZA-T-0058,Activity,Activity,Igikorwa,,Howsha
EHEZA-T-0059,AcuteIllnessActivityTitle.AcuteIllnessPhysicalExam,Physical Exam,Gusuzuma,Igipimo c'umubiri,Baaritaan Jireed
EHEZA-T-0060,AcuteIllnessActivityTitle.AcuteIllnessPriorTreatment,Prior Treatment History,Amakuru ku miti yafashe,Imbere yo kuvura akahise,Ka hor Taariikhda Daaweynta
EHEZA-T-0061,AcuteIllnessActivityTitle.AcuteIllnessLaboratory,Laboratory,Ibizamini,Icumba c'ipimiro,Sheybaar
EHEZA-T-0062,AddressInformation,Address Information,Aho atuye/Aho abarizwa,Amakuru ajanye n'aho aba,Macluumaadka Cinwaanka
EHEZA-T-0063,AdverseEvent.AdverseEventRashOrItching,Rash or Itching,Kwishima cyangwa gusesa uduheri (turyaryata),Amaherehere canke kwiyagaza,Nabar ama Cuncun
EHEZA-T-0064,AdverseEvents,Adverse Events,,Ibimenyetso vyuko umuti wamumereye nabi,Waxyeellooyin
EHEZA-T-0065,AgeWord,Age,Imyaka,Imyaka,Da`da
EHEZA-T-0066,AHEZA,AHEZA,,,
EHEZA-T-0067,AhezaChild,Aheza Child,Aheza igenewe umwana,Aheza igenewe umwana,Aheza Ilmo
EHEZA-T-0068,AhezaMother,Aheza Mother,Aheza igenewe umubyeyi,Aheza igenewe umuvyeyi,Aheza Hooyo
EHEZA-T-0069,AlbendazoleLabel,Albendazole,,,
EHEZA-T-0070,AILaboratoryTask.LaboratoryCovidTesting,Covid Rapid Test,Ikizamini cya Covid-19 cyihuse,Igipimo c'ihuta ca Korona,Baaritaanka deg dega ah ee Covid
EHEZA-T-0071,All,All,Uburwayi bwose,Vyose,Dhamaan
EHEZA-T-0072,AlmostEveryday,Almost everyday (6-7 days),Buri munsi (iminsi 6-7),,
EHEZA-T-0073,Amlodipine5mg,Amlodipine (5mg),,,
EHEZA-T-0074,ANCNewborn,Antenatal Care & Newborn,Kwita k’umugore utwite n’uruhinja,Gukurikirana umukenyezi wibungenze n'uruyoya,Daryeelka Uurreyda & Dhallaan
EHEZA-T-0075,AntenatalCare,Antenatal Care,Isuzuma ku mugore utwite,Gukurikirana umukenyezi wibungenze,Daryeelka Uurreyda
EHEZA-T-0076,AntenatalProgressReport,Antenatal Progress Report,,Icegeranyo c'iterambere ry'imbanyi imbere yo kuvyara,Warbixinta Joogtada ah ee Uurreyda
EHEZA-T-0077,AntenatalVisistsHistory,Antenatal Visits History,Amakuru ku isurwa ry'umugore utwite,Akahise ko kugenderwa imbere yo kuvyara,Taariikhda Booqashada Uureyda
EHEZA-T-0078,AppName,E-Heza System,E-heza sisiteme,Ubuhinga bwa E-Heza,Habka E-Heza
EHEZA-T-0079,AppointmentConfirmation,Appointment Confirmation,Kwemeza itariki yo kugaruka,Kwemeza isango,Xaqiijinta Ballanta
EHEZA-T-0080,Assessment,Assessment,Ipimwa,Isuzuma,Qiimayn
EHEZA-T-0081,Asthma,Asthma,Asthma (Agahema),Asima,
EHEZA-T-0082,Attendance,Attendance,Ubwitabire,Ukwitaba,
EHEZA-T-0083,Azithromycin2g,Azithromycin (2g),Azithromycine (2g),azithromycine(2g),
EHEZA-T-0084,Baby,Baby,Umwana,Uruyoya,Cunuga
EHEZA-T-0085,Balance,Balance,Ibisigaye,,Haraaga
EHEZA-T-0086,BatchNumberAbbrev,Batch #,Nomero #,,
EHEZA-T-0087,BloodGroup,Blood Group,Ubwoko bw'Amaraso,Umurwi wa'amaraso,
EHEZA-T-0088,BeatsPerMinuteUnitLabel,Beats per minute,Inshuro umutima utera ku munota,Ugukubita k'umunota,Garaaca daqiiqadiiba
EHEZA-T-0089,BirthDefect.DefectBirthInjury,Birth Injury,Impanuka zo mu kuvuka,Igikomere yavukanye,Dhaawac Dhalasho
EHEZA-T-0090,BirthDefect.DefectCleftLipWithCleftPalate,Cleft Lip with Cleft Palate,Ibibari k'umunwa n'urusenge rw'akanwa,Umunwa wapasutse hamwe n'ubujana,
EHEZA-T-0091,BirthDefect.DefectCleftPalate,Cleft Palate,Ibibari ku rusenge rw'akanwa,Ubujana,
EHEZA-T-0092,BirthDefect.DefectClubFoot,ClubFoot,Ibirenge bitameze neza,Ubumuga bw'ikirenge,
EHEZA-T-0093,BirthDefect.DefectMacrocephaly,Macrocephaly,Umutwe munini cyane,Umutwe munini urengeye ibisanzwe,
EHEZA-T-0094,BirthDefect.DefectGastroschisis,Gastroschisis,Umwobo ku nda bituma imyanya yo mu nda iba hanze,Ingwara umwana avukana ituma usanga ikinigo mu nda iwe hama amara agasohoka,Xubnaha Uur ku jirta oo Banaanka usoo baxa
EHEZA-T-0095,BirthDefect.DefectHearingLoss,Hearing Loss,Ubumuga bwo kutumva,Gutakaza kumva,Maqal la`aan
EHEZA-T-0096,BirthDefect.DefectUndescendedTestes,Undescended Testes,Udusabo tw'itanga tutari mu mwanya watwo,Ibipimo bidategeretse,
EHEZA-T-0097,BirthDefect.DefectHypospadias,Hypospadias,Umwenge unyuramo inkari ku gice cyo hasi cy'imboro,Ingwara canke ikintu kidasanzwe aho intoboro y'imboro y'umwana ija aho itagenewe,
EHEZA-T-0098,BirthDefect.DefectInguinalHernia,Inguinal Hernia,Urura rwamanutse ruva mu gice cyarwo,Ikivyimba mu mara,Xudun Wareen
EHEZA-T-0099,BirthDefect.DefectMicrocephaly,Microcephaly,Umutwe muto cyane,Umutwe mutoya birengeye ugereranije niy'abandi bana bafise imyaka ingana,Madax Yarow
EHEZA-T-0100,BirthDefect.DefectNeuralTubes,Neural Tubes Defects,Urutirigongo rudafunze neza,,Cudurka Dareen Sidaha Daadsan ee Laf Dhabrta
EHEZA-T-0101,BirthDefect.DefectDownSyndrome,Down Syndrome,Ikibazo giterwa no kuvukana uturangamuntu(Chromosomes) turenze utwangomwa,Ingwara ya Down (ingwara ituma haba ingorane mu bwenge canke k'umubiri),
EHEZA-T-0102,BirthDefect.DefectCongenitalHeart,CongenitalHeart Defects (CHD),Yavukanye ibibazo by'umutima,Ingwara z'umutima zavukanywe,
EHEZA-T-0103,BirthDefect.DefectVentricalSeptal,Ventrical Septal Defect,Ibibazo by'umutima,Ingwara y'umutima aho hari ikinogo mu kibambazi gitandukanya ivyumba 2 vyo hepfo mu mutima indani,
EHEZA-T-0104,BirthDefect.DefectPulmonaryValveAtresiaAndStenosis,Pulmonary Valve Atresia and Stenosis,Ibibazo by'umutima n'ibihaha,Ingwara yo mu mahaha itewe n'ubuke bw'amaraso aje ava m'umutima kubera hariho uturingoti/uturyango twugaye,
EHEZA-T-0105,BirthDefectLabel,Birth Defect,Yavukanye ubumuga,Yavukanye ubumuga,
EHEZA-T-0106,BloodGlucose,Blood Glucose,Ingano y'Isukari mu Maraso,"Umurwi wa \""Glucose\"" (umurwi ndemamubiri)",
EHEZA-T-0107,BloodPressure,Blood Pressure,Umuvuduko w'amaraso,Umuvuduko w'amaraso,
EHEZA-T-0108,BloodPressureDiaLabel,Diastolic,Umuvuduko w'amaraso wo hasi,,Garaaca Sare
EHEZA-T-0109,BloodPressureSysLabel,Systolic,Umubare w'umuvuduko w'amaraso wo hejuru,Umuvuduko w'amaraso urenze mu gihe umutima uyarungitse,
EHEZA-T-0110,BloodSmearLabel,Malaria Blood Smear,,Gupima Malariya mu maraso,
EHEZA-T-0111,BloodSmearTestResult,Malaria Blood Smear Result,,,
EHEZA-T-0112,BloodInSputumLabel,Blood in Sputum,Amaraso mu gikororwa,Amaraso mu bikororwa,Dhiig la socda Xaakada
EHEZA-T-0113,BMI,BMI,,IMC,
EHEZA-T-0114,BMIUnit,kg/m²,,,
EHEZA-T-0115,BodyTemperature,Body Temperature,Ubushyuhe bw'umubiri,Ubushuhe bw'umubiri,Heer kulka Jirka
EHEZA-T-0116,BornUnderweight,Born Underweight,Yavukanye ibiro bidashyitse,Yavutse afise ibiro bikeya,Ku Dhashay Miisaan Yar
EHEZA-T-0117,BowedLegs,Bowed Legs,Amaguru atameze neza (yagize imitego),Amaguru yigonze,
EHEZA-T-0118,BreathsPerMinuteUnitLabel,Breaths per minute,Inshuro ahumeka ku munota,Uguhema k'umunota,Neefsiga daqiiqadii
EHEZA-T-0119,BreastExam,Breast Exam,Gusuzuma amabere,Igipimo c'amabere,
EHEZA-T-0120,BreastExamSign.Mass,Mass,Utubyimba mu Ibere,Imisa,
EHEZA-T-0121,BreastExamSign.Discharge,Discharge,Gusohoka kw'ibintu bidasanzwe,Gucugwa,Ka saarid
EHEZA-T-0122,BreastExamSign.Infection,Infection,Indwara iterwa n'udukoko tutabonwa n'amaso (Microbes),Ivyanduza,Caabuq
EHEZA-T-0123,BreastExamSign.Warmth,Warmth,Ubushyuhe,Ubushuhe,
EHEZA-T-0124,BreastExamDischargeType.DischargeMilky,Milky,,,U eg caano
EHEZA-T-0125,BreastExamDischargeType.DischargeClear,Clear,,Bimeze nk'amata,Tirtir
EHEZA-T-0126,BreastExamDischargeType.DischargeBrownOrBloody,Brown or Bloody,,Inzobe canke Ikiremve,
EHEZA-T-0127,BreastExamDischargeType.DischargeYellow,Yellow,,Ibara risa n'umutoto uhishiye,Jaalle
EHEZA-T-0128,BreastExamDischargeType.DischargeGreen,Green,,Ibara ry'icatsi kibisi,Cagaar
EHEZA-T-0129,BrittleHair,Brittle Hair,Gucurama no guhindura ibara ku misatsi,Imishatsi ibenje,Timo
EHEZA-T-0130,CalciumLabel,Calcium,Kalisiyumu,,
EHEZA-T-0131,Candidiasis,Candidiasis,Kandidoze,Candidose,
EHEZA-T-0132,CardiacDisease,Cardiac Disease,Indwara z'umutima,Ingwara y'umutima,
EHEZA-T-0133,Caring,Caring,Kwita ku mwana,Ukwita ku mwana,Daryeelaya
EHEZA-T-0134,Carvedilol625mg,Carvedilol (6.25mg),,,
EHEZA-T-0135,CaseManagement,Case Management,Gukurikirana Umurwayi,Gukurikirana umurwayi,Maareynta Xaalada
EHEZA-T-0136,CaseManagementFilterLabel.FilterContactsTrace,Contact Tracing,Gushakisha abahuye n'uwanduye,Kurondera uwo mwavuganye,Raad raaca Qofka
EHEZA-T-0137,CaseManagementFilterLabel.FilterPrenatalLabs,ANC Labs,Ibizamini bikorerwa umubyeyi utwite,Ibipimo vya laboratware bikorerwa abasuzumisha imbanyi,
EHEZA-T-0138,CaseManagementPaneHeader.FilterNutrition,Child Nutrition Follow Up,Gukurikirana imirire y'umwana,Gukurikirana Ingaburo y’umwana,Ka warqabka Nafaqada Canuga
EHEZA-T-0139,CaseManagementPaneHeader.FilterContactsTrace,Contact Tracing,Gushakisha abahuye n'uwanduye,Kurondera uwo mwavuganye,
EHEZA-T-0140,CaseManagementPaneHeader.FilterPrenatalLabs,ANC Labs,Ibizamini bikorerwa umubyeyi utwite,Ibipimo vya laboratware vy'imbanyi imbere yo kuvyara,
EHEZA-T-0141,Ceftriaxone1g,Ceftriaxone (1g),,,
EHEZA-T-0142,Celsius,Celsius,Serisiyusi,,Seelisyas
EHEZA-T-0143,CelsiusAbbrev,°C,,,
EHEZA-T-0144,Cell,Cell,Akagali,cellule,Unug
EHEZA-T-0145,Child0to5,Child (0-5),Umwa (0-5),Umwa (0-5),
EHEZA-T-0146,Child6to24,Child (6-24),Umwana (6-24),Umwnana (6-24),
EHEZA-T-0147,ChildHmisNumber,Child HMIS Number,Numero y'umwana muri HMIS,Inomero y'umwana muri SIGS,Lambarka HXMC ee Canuga
EHEZA-T-0148,ChildIdentification,Child Identification,Umwirondoro w'Umwana,Umwirondoro w'umwana,Aqoonsiga Canuga
EHEZA-T-0149,ChildNutritionSignLabel.AbdominalDistension,Abdominal Distension,Kubyimba inda,Kuvyimba inda,Calool fuur
EHEZA-T-0150,ChildNutritionSignLabel.Apathy,Apathy,Kwigunga,Kwigunga,Daal
EHEZA-T-0151,ChildNutritionSignLabel.DrySkin,Dry Skin,Uruhu ryumye,Uruhu runyankabiranye,Maqaar Qallalan
EHEZA-T-0152,ChildNutritionSignLabel.PoorAppetite,Poor Appetite,Kubura apeti /kunanirwa kurya,Akayabagu gake,Cunno Xumo
EHEZA-T-0153,ChildNutrition,Child Nutrition,Imirire y'Umwana,Ingaburo y’umwana,Nafaqada Canuga
EHEZA-T-0154,Children,Children,Abana,Abana,Carruur
EHEZA-T-0155,ChildScoreboardActivityTitle.ChildScoreboardVaccinationHistory,Vaccination History,Amakuru ku Nkingo,Akahise k'Urucanco,
EHEZA-T-0156,ChildScorecard,Child Scorecard,Ifishi y’Imikurire y’Umwana,Ikarata y'ikurikiranwa ry'umwana,Jaantuska Canuga
EHEZA-T-0157,ChildWellness,Child Wellness,Imibereho myiza y'umwana,,
EHEZA-T-0158,ChronicHypertension,Chronic Hypertension,Indwara y'Umuvuduko w'Amaraso Imaze Igihe Kirekire,Umuvuduko ukabije w'amaraso wamaho,
EHEZA-T-0159,CHW,CHW,,,
EHEZA-T-0160,ChwActivity,Chw Activity,Igikorwa cy'Umujyana w'Ubuzima,Igikorwa c'Abaremeshakiyago,Hawsha SHCB
EHEZA-T-0161,Clear,Clear,Gukuraho,biragaragara,Tirtir
EHEZA-T-0162,Clinical,Clinical,Amakuru y’ubuvuzi,Ivyo kwa muganga,Daaweyn
EHEZA-T-0163,ClinicalProgressReport,Clinical Progress Report,Erekana raporo yibyavuye mu isuzuma,Icegeranyo c'iterambera mu kuvugwa co kwa muganga,Warbixinta Horusocodka Daaweynta
EHEZA-T-0164,Colline,Colline,,Umutumba,
EHEZA-T-0165,CollineSub,Sub-Colline,,Agacimbiri,
EHEZA-T-0166,Commune,Commune,,,
EHEZA-T-0167,CompletionDate,Completion Date,,Itariki yaherejeko gufata umuti,
EHEZA-T-0168,ConditionsDuringPreviousPregnancy,Conditions during previous pregnancy,Uko umubyeyi yari ameze igihe yari atwite inda iheruka,,
EHEZA-T-0169,Connecting,Connecting,Gusabana,,
EHEZA-T-0170,ConstipationLabel,Constipation,Kwituma impatwe,Ukuzura inda,Calool istaag
EHEZA-T-0171,Contacted114,Contacted 114,Namenyesheje 114,Inimero yo kuvuganako 114,
EHEZA-T-0172,ContactedHC,Contacted health center,Yamenyesheje ikigo nderabuzima,Ivuriro ryarondewe,Xarunta caafimaad ee lala xiriiray
EHEZA-T-0173,ContactName,Contact Name,,,Magaca Qofka
EHEZA-T-0174,ContributingFactor.FactorLackOfBreastMilk,Lack of breast milk (for children < 6 months),Kubura kw'amashereka (ku mwana uri munsi y'amezi atandatu),Ibura ry'amaberebere (ku bana bari munsi ya mezi 6),Aan lahayn caanaha naaska (ilmaha <6 bilood)
EHEZA-T-0175,ContributingFactor.FactorMaternalMastitis,Maternal mastitis (for children < 6 months),Umubyeyi yabyimbye amabere (ku mwana uri munsi y'amezi atandatu),Ingwara y'imoko kub'abavyeyi (ku bana bari munsi y'amezi 6),
EHEZA-T-0176,ContributingFactor.FactorPoorSuck,Poor suck,Yonka nta mbaraga,Ugukwega kutakwiye,Nuugida ku Yar
EHEZA-T-0177,ContributingFactor.FactorDiarrheaOrVomiting,Diarrhea or vomiting,Impiswi cyangwa kuruka,Gucibwamwo hamwe n'ukudahwa,Shuban ama matag
EHEZA-T-0178,ContributingFactors,Contributing Factors,Impamvu zateye uburwayi,Ivyatumye arwara,Waxyaabaha Keeni kara
EHEZA-T-0179,ConvulsionsAndUnconsciousPreviousDelivery,Experienced convulsions and resulted in becoming unconscious after delivery,Ubushize yaragagaye bimuviramo kutumva akimara kubyara,Umurwayi/umuvyeyi yagize ibizunguzungu hama haziramwo uguta ubwenge mu gihe yarahejeje kuvyara,
EHEZA-T-0180,ConvulsionsLabel,Convulsions,Kugagara,Ibisahuzi,Gariir
EHEZA-T-0181,ConvulsionsPreviousDelivery,Experienced convulsions in previous delivery,Ubushize yaragagaye abyara,Yarumvise ibizunguzungu igihe aheruka kwibaruka,
EHEZA-T-0182,CorePhysicalExamLabel,Core Physical Exam,Isuzuma ryimbitse,Igipimo c'umubiri c'intango,
EHEZA-T-0183,COVID19WithSignsOfPneumonia,COVID-19 with signs of Pneumonia,Uburwayi bwa Covid-19 hamwe n'ibimenyetso by'Umusonga,Virisi ya Korona - 19 n'ibimenyetso vy'umusonga,COVID-19 oo leh calaamadaha Oof wareenka
EHEZA-T-0184,Creatinine,Creatinine,Keleyatinine,Créatinine,
EHEZA-T-0185,CSection,C-Section,Yarabazwe,,
EHEZA-T-0186,CSectionScar.Vertical,Vertical,Irahagaze,Irahagaze,
EHEZA-T-0187,CSectionScar.Horizontal,Horizontal,Iratambitse,Iraryamye,Jiif
EHEZA-T-0188,CurrentMedication,Current Medication,,Umuti ariko afata,
EHEZA-T-0189,DepressionNotLikely,Depression not Likely,Birashoboka ko adafite indwara y'agahinda gakabije,Kwihebura ntibishoboka,
EHEZA-T-0190,DepressionPossible,Depression Possible,Birashoboka ko yagira indwara y'agahinda gakabije,Kwihebura birashoboka,
EHEZA-T-0191,DiplomaProgram2YearsOfUniversity,Diploma Program (2 years of University),Amashuri 2 ya Kaminuza,Umugambi wo kuronka urupapuro rw'umutsindo (Imyaka Ibiri (2) kuri Kaminuza),Barnaamijka Dibloomada (2 sano oo Jaamacad ah)
EHEZA-T-0192,DiscordantPartnership,Discordant Partnership,Umwe mubo babana afite ubwandu,Umwe afise umugera wa SIDA kandi uwundi atawafise,
