id,title,field_first_name,field_second_name,field_gender,field_birth_date,field_health_center,field_birth_date_estimated,field_hmis_number,field_marital_status,field_education_level,field_ubudehe,field_province,field_district,field_sector,field_cell,field_village,field_hiv_status,field_mode_of_delivery,field_number_of_children,field_photo,field_national_id_number,field_phone_number,created
51,Iradukunda Jeannette,Jeannette,Iradukunda,female,2018-08-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-3.jpg,1199270132684390,0718185699,1592244289
52,Iradukunda Antoinette,Antoinette,Iradukunda,female,2018-02-04,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-4.jpg,1199270102733528,0789675955,1592244289
53,Iradukunda Claudette,Claudette,Iradukunda,female,2018-09-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-3.jpg,1199270121677487,0735272787,1592244289
54,Iradukunda Claudine,Claudine,Iradukunda,female,2018-04-05,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-1.jpg,1199270111521909,0717100607,1592244289
55,Iradukunda Berthe,Berthe,Iradukunda,female,2018-10-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-3.jpg,1199270126974289,0724374230,1592244289
56,Iradukunda Bellancile,Bellancile,Iradukunda,female,2018-03-04,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-2.jpg,1199270179444078,0702752201,1592244289
57,Iradukunda Sylvia,Sylvia,Iradukunda,female,2018-03-08,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-2.jpg,1199270164980169,0763984985,1592244289
58,Iradukunda Adeline,Adeline,Iradukunda,female,2018-09-09,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-4.jpg,1199270119696510,0735298733,1592244289
59,Iradukunda Adela,Adela,Iradukunda,female,2018-06-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-4.jpg,1199270102711308,0793483730,1592244289
60,Iradukunda Odette,Odette,Iradukunda,female,2018-04-06,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-2.jpg,1199270148444166,0714074756,1592244289
61,Iradukunda Julia,Julia,Iradukunda,female,2018-09-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-1.jpg,1199270113368038,0710754242,1592244289
62,Iradukunda Isabelle,Isabelle,Iradukunda,female,2018-07-05,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-2.jpg,1199270198139686,0727037100,1592244289
63,Iradukunda Epiphanie,Epiphanie,Iradukunda,female,2018-01-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-2.jpg,1199270109410048,0779993088,1592244289
64,Iradukunda Yvone,Yvone,Iradukunda,female,2018-09-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-2.jpg,1199270147299888,0734598646,1592244289
65,Iradukunda Rose,Rose,Iradukunda,female,2018-02-04,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-2.jpg,1199270183449902,0772812196,1592244289
66,Iradukunda Maria,Maria,Iradukunda,female,2018-07-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-2.jpg,1199270100325231,0703746390,1592244289
67,Iradukunda Anne,Anne,Iradukunda,female,2018-02-06,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-3.jpg,1199270178967120,0712638987,1592244289
68,Iradukunda Marie,Marie,Iradukunda,female,2018-09-05,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-1.jpg,1199270150090932,0793603468,1592244289
69,Iradukunda Angelo,Angelo,Iradukunda,male,2018-02-07,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270144698606,0739441692,1592244289
70,Iradukunda Yannick,Yannick,Iradukunda,male,2018-07-05,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270161080787,0796570393,1592244289
71,Iradukunda Yvan,Yvan,Iradukunda,male,2018-12-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-2.jpg,1199270149643845,0744687003,1592244289
72,Iradukunda Ian,Ian,Iradukunda,male,2018-09-08,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-2.jpg,1199270109181842,0799516683,1592244289
73,Iradukunda Gaelle,Gaelle,Iradukunda,male,2018-10-06,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-1.jpg,1199270129477815,0797209169,1592244289
74,Iradukunda Christian,Christian,Iradukunda,male,2018-01-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-1.jpg,1199270106343873,0729001253,1592244289
75,Iradukunda Jean-Luc,Jean-Luc,Iradukunda,male,2018-10-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-1.jpg,1199270123911822,0736468837,1592244289
76,Iradukunda Steven,Steven,Iradukunda,male,2018-05-26,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270188153947,0748886549,1592244289
77,Iradukunda Henry,Henry,Iradukunda,male,2018-03-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-3.jpg,1199270179498374,0713603042,1592244289
81,Iradukunda Olivier,Olivier,Iradukunda,male,2018-04-30,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-2.jpg,1199270101959480,0733544289,1592244289
82,Iradukunda Jimmy,Jimmy,Iradukunda,male,2018-02-04,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-1.jpg,1199270135260030,0786667567,1592244289
83,Iradukunda Rene,Rene,Iradukunda,male,2018-01-16,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-4.jpg,1199270171367031,0723896659,1592244289
84,Iradukunda Joel,Joel,Iradukunda,male,2018-09-30,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-1.jpg,1199270152648669,0751644082,1592244289
85,Iradukunda Kyle,Kyle,Iradukunda,male,2018-05-07,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-1.jpg,1199270178604468,0771298699,1592244289
36,Iradukunda Soline,Soline,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-1.jpg,1199270146552617,0770782505,1592244289
37,Iradukunda Ancille,Ancille,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-5.jpg,1199270170962018,0714749124,1592244289
38,Iradukunda Jacqueline,Jacqueline,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-3.jpg,1199270159219946,0741366461,1592244289
90,Iradukunda Elyse,Elyse,Iradukunda,male,2018-11-04,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270105060080,0704654724,1592244289
44,Iradukunda Clarisse,Clarisse,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-7.jpg,1199270110089711,0726592945,1592244289
45,Iradukunda Anitha,Anitha,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-3.jpg,1199270154543832,0775345193,1592244289
46,Tuyizere Ariella,Ariella,Tuyizere,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-5.jpg,1199270108200256,0716617208,1592244289
47,Tuyizere Ines,Ines,Tuyizere,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-2.jpg,1199270164763026,0756567980,1592244289
78,Iradukunda Avi,Avi,Iradukunda,male,2018-10-14,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-2.jpg,1199270155560642,0798023753,1592244289
79,Iradukunda Liam,Liam,Iradukunda,male,2018-07-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-2.jpg,1199270173234114,0766062519,1592244289
80,Iradukunda Vivens,Vivens,Iradukunda,male,2018-10-16,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-2.jpg,1199270119686078,0749479732,1592244289
91,Tuyizere Anaelle,Anaelle,Tuyizere,female,1989-06-06,5,,,,,,,,,,,,,,mother-2.jpg,1199270195130098,0774975039,1592244289
86,Iradukunda Honore,Honore,Iradukunda,male,2018-09-30,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-3.jpg,1199270157625982,0741594494,1592244289
87,Iradukunda Robert,Robert,Iradukunda,male,2018-05-06,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-2.jpg,1199270143559973,0739262056,1592244289
88,Iradukunda Patrick,Patrick,Iradukunda,male,2018-01-04,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-4.jpg,1199270101192373,0710262024,1592244289
89,Iradukunda Janvier,Janvier,Iradukunda,male,2018-08-07,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-1.jpg,1199270147318917,0756511487,1592244289
