id,title,field_first_name,field_second_name,field_gender,field_birth_date,field_health_center,field_birth_date_estimated,field_hmis_number,field_marital_status,field_education_level,field_ubudehe,field_province,field_district,field_sector,field_cell,field_village,field_hiv_status,field_mode_of_delivery,field_number_of_children,field_photo,field_national_id_number,field_phone_number,created
17,Iradukunda Ange,Ange,Iradukunda,female,1987-08-08,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-1.jpg,1199270184143806,0789988133,1592244289
18,Iradukunda Daenah,Daenah,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-6.jpg,1199270178108217,0766571299,1592244289
19,Iradukunda Benitha,Benitha,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-1.jpg,1199270128794061,0709885412,1592244289
20,Iradukunda Ketsia,Ketsia,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-1.jpg,1199270116400902,0716164298,1592244289
21,Iradukunda Vanessa,Vanessa,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-3.jpg,1199270160344725,0721208858,1592244289
22,Iradukunda Aurore,Aurore,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-5.jpg,1199270192286670,0700913633,1592244289
23,Iradukunda Ollia,Ollia,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-5.jpg,1199270131780016,0737872634,1592244289
24,Iradukunda Orietta,Orietta,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-3.jpg,1199270191724815,0785039488,1592244289
25,Iradukunda Huguette,Huguette,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-1.jpg,1199270150504575,0794283594,1592244289
26,Iradukunda Nadege,Nadege,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-2.jpg,1199270166139284,0777359848,1592244289
27,Iradukunda Nadia,Nadia,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-7.jpg,1199270157291339,0713666260,1592244289
28,Iradukunda Larissa,Larissa,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-6.jpg,1199270120605306,0755768200,1592244289
29,Iradukunda Raissa,Raissa,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-7.jpg,1199270110369986,0732713407,1592244289
30,Iradukunda Vanette,Vanette,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-1.jpg,1199270125371070,0742366662,1592244289
31,Iradukunda Sylvana,Sylvana,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-7.jpg,1199270177306330,0746164367,1592244289
32,Iradukunda Kendra,Kendra,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-5.jpg,1199270160697151,0738286073,1592244289
33,Iradukunda Ornella,Ornella,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-3.jpg,1199270118284233,0702711489,1592244289
34,Iradukunda Eva,Eva,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-5.jpg,1199270196365075,0784764456,1592244289
35,Iradukunda Annet,Annet,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-6.jpg,1199270142771755,0716342583,1592244289
36,Iradukunda Suzan,Suzan,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-2.jpg,1199270106490232,0793927519,1592244289
37,Iradukunda Alphonsine,Alphonsine,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-6.jpg,1199270197029403,0762583308,1592244289
38,Iradukunda Marcelline,Marcelline,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-2.jpg,1199270179946295,0724031896,1592244289
39,Iradukunda Chantal,Chantal,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-2.jpg,1199270178274223,0780214023,1592244289
40,Iradukunda Agnes,Agnes,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-2.jpg,1199270161985415,0794517919,1592244289
41,Iradukunda Ernest,Ernest,Iradukunda,male,2022-09-26,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-4.jpg,1199270177498016,0722964859,1592244289
42,Iradukunda Pamela,Pamela,Iradukunda,female,2022-09-30,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-3.jpg,1199270128970453,0795513768,1592244289
43,Iradukunda Arsene,Arsene,Iradukunda,male,2022-07-05,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-2.jpg,1199270156210263,0751626745,1592244289
44,Iradukunda Jeannette,Jeannette,Iradukunda,female,2022-08-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-3.jpg,1199270101876935,0744692860,1592244289
45,Iradukunda Antoinette,Antoinette,Iradukunda,female,2022-02-04,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-2.jpg,1199270127274431,0715120225,1592244289
46,Iradukunda Claudette,Claudette,Iradukunda,female,2022-09-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-3.jpg,1199270107918833,0780032918,1592244289
47,Iradukunda Claudine,Claudine,Iradukunda,female,2022-04-05,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-2.jpg,1199270135398244,0786688104,1592244289
48,Iradukunda Berthe,Berthe,Iradukunda,female,2022-10-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-2.jpg,1199270111009124,0704013908,1592244289
49,Iradukunda Bellancile,Bellancile,Iradukunda,female,2022-03-04,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-2.jpg,1199270138741800,0783257512,1592244289
50,Iradukunda Sylvia,Sylvia,Iradukunda,female,2022-03-08,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-1.jpg,1199270162242311,0765036866,1592244289
51,Iradukunda Adeline,Adeline,Iradukunda,female,2022-09-09,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-2.jpg,1199270172591473,0738804987,1592244289
52,Iradukunda Adela,Adela,Iradukunda,female,2022-06-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-4.jpg,1199270110273432,0793802050,1592244289
53,Iradukunda Odette,Odette,Iradukunda,female,2022-04-06,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-4.jpg,1199270117302239,0774597228,1592244289
54,Iradukunda Julia,Julia,Iradukunda,female,2022-09-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-3.jpg,1199270162196906,0780524586,1592244289
55,Iradukunda Isabelle,Isabelle,Iradukunda,female,2022-07-05,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-3.jpg,1199270109254245,0738833016,1592244289
56,Iradukunda Epiphanie,Epiphanie,Iradukunda,female,2022-01-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-3.jpg,1199270191765981,0786331555,1592244289
57,Iradukunda Yvone,Yvone,Iradukunda,female,2022-09-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-4.jpg,1199270109405364,0761096060,1592244289
58,Iradukunda Rose,Rose,Iradukunda,female,2022-02-04,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-3.jpg,1199270100758622,0786931102,1592244289
59,Iradukunda Maria,Maria,Iradukunda,female,2022-07-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-1.jpg,1199270136254593,0716177034,1592244289
60,Iradukunda Anne,Anne,Iradukunda,female,2022-02-06,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-4.jpg,1199270159080605,0783468469,1592244289
61,Iradukunda Marie,Marie,Iradukunda,female,2022-09-05,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-girl-4.jpg,1199270130245909,0715620441,1592244289
62,Iradukunda Angelo,Angelo,Iradukunda,male,2022-02-07,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-3.jpg,1199270181166512,0790907655,1592244289
63,Iradukunda Yannick,Yannick,Iradukunda,male,2022-07-05,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-1.jpg,1199270178299686,0786440050,1592244289
64,Iradukunda Yvan,Yvan,Iradukunda,male,2022-12-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270158509850,0780948930,1592244289
65,Iradukunda Ian,Ian,Iradukunda,male,2022-09-08,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270117609457,0794327419,1592244289
66,Iradukunda Gaelle,Gaelle,Iradukunda,male,2022-10-06,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-2.jpg,1199270173526888,0712780315,1592244289
67,Iradukunda Christian,Christian,Iradukunda,male,2022-01-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-3.jpg,1199270110232990,0782920141,1592244289
68,Iradukunda Jean-Luc,Jean-Luc,Iradukunda,male,2022-10-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270183014418,0721525689,1592244289
69,Iradukunda Steven,Steven,Iradukunda,male,2022-05-26,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270142379316,0787162470,1592244289
70,Iradukunda Henry,Henry,Iradukunda,male,2022-03-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-2.jpg,1199270113336470,0742265148,1592244289
71,Iradukunda Olivier,Olivier,Iradukunda,male,2022-04-30,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270178173892,0725871853,1592244289
72,Iradukunda Jimmy,Jimmy,Iradukunda,male,2022-02-04,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-3.jpg,1199270177771083,0749917555,1592244289
73,Iradukunda Rene,Rene,Iradukunda,male,2022-01-16,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-2.jpg,1199270102945163,0704977695,1592244289
74,Iradukunda Joel,Joel,Iradukunda,male,2022-09-30,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-3.jpg,1199270164171667,0783180829,1592244289
75,Iradukunda Kyle,Kyle,Iradukunda,male,2022-05-07,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-4.jpg,1199270184480474,0747426762,1592244289
76,Iradukunda Soline,Soline,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-1.jpg,1199270193040110,0763896218,1592244289
77,Iradukunda Ancille,Ancille,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-1.jpg,1199270143729419,0797852223,1592244289
78,Iradukunda Jacqueline,Jacqueline,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-7.jpg,1199270187818687,0736543709,1592244289
79,Iradukunda Elyse,Elyse,Iradukunda,male,2022-11-04,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270142446702,0736030176,1592244289
80,Iradukunda Clarisse,Clarisse,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-4.jpg,1199270154265061,0795843727,1592244289
81,Iradukunda Anitha,Anitha,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-6.jpg,1199270112675292,0772355912,1592244289
82,Tuyizere Ariella,Ariella,Tuyizere,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-5.jpg,1199270163720794,0797898182,1592244289
83,Tuyizere Ines,Ines,Tuyizere,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-6.jpg,1199270189971280,0739750296,1592244289
84,Iradukunda Avi,Avi,Iradukunda,male,2022-10-14,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270109337587,0797532721,1592244289
85,Iradukunda Liam,Liam,Iradukunda,male,2022-07-01,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270170021524,0753250697,1592244289
86,Iradukunda Vivens,Vivens,Iradukunda,male,2022-10-16,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-1.jpg,1199270148923903,0725003150,1592244289
87,Tuyizere Anaelle,Anaelle,Tuyizere,female,1989-06-06,5,,,,,,,,,,,,,,mother-4.jpg,1199270166165884,0702784342,1592244289
88,Iradukunda Honore,Honore,Iradukunda,male,2022-09-30,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-3.jpg,1199270123579645,0706723225,1592244289
89,Iradukunda Robert,Robert,Iradukunda,male,2022-05-06,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-4.jpg,1199270150716038,0780440977,1592244289
90,Iradukunda Patrick,Patrick,Iradukunda,male,2022-01-04,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-4.jpg,1199270171661855,0705144494,1592244289
91,Iradukunda Janvier,Janvier,Iradukunda,male,2022-08-07,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,baby-boy-4.jpg,1199270128413102,0789637229,1592244289
